# Rime user dictionary
#@/db_name	clover
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5226
#@/user_id	9a37928f-410e-4e25-b28a-7b53c5089780
bing 	并	c=7 d=1.00008 t=4671
bing 	病	c=1 d=1 t=4362
bing bu shi 	并不是	c=1 d=1 t=4517
bo fang 	播放	c=1 d=1 t=4323
bo shi 	博士	c=1 d=1 t=4580
bu 	不	c=6 d=0.654105 t=5133
bu 	步	c=2 d=0.17698 t=5081
bu bao cun 	不保存	c=1 d=1 t=2394
bu bao kuo 	不包括	c=1 d=1 t=3540
bu bu 	步步	c=1 d=1 t=4891
bu ceng 	不曾	c=1 d=1 t=7
bu chi 	不吃	c=0 d=0.1 t=4278
bu chi shi 	不吃屎	c=1 d=1 t=4279
bu dan 	不但	c=1 d=1 t=1454
bu de bu 	不得不	c=1 d=1 t=3916
bu deng 	不等	c=1 d=1 t=2110
bu di le 	不滴了	c=1 d=1 t=2446
bu dian 	不点	c=1 d=1 t=1996
bu dong 	不懂	c=1 d=1 t=5167
bu dou ni wan le 	不逗你玩了	c=1 d=1 t=48
bu duan 	不断	c=2 d=1.75201 t=395
bu fa le 	不发了	c=1 d=1 t=187
bu gao 	不高	c=0 d=0.1 t=266
bu gao xiao 	不搞笑	c=1 d=1 t=2183
bu gei ni 	不给你	c=1 d=1 t=1084
bu gen ni 	不跟你	c=1 d=1 t=299
bu guan 	不管	c=2 d=1.92312 t=2554
bu guo 	不过	c=7 d=1.48883 t=4811
bu hao 	不好	c=0 d=0.1 t=63
bu he shi 	不合适	c=1 d=1 t=4435
bu hui 	不会	c=10 d=2.03571 t=4548
bu hui ba 	不会吧	c=1 d=1 t=1224
bu hui dui 	不会对	c=1 d=1 t=1903
bu hui dui 	步会对	c=1 d=1 t=1902
bu jian 	不见	c=1 d=1 t=1295
bu jian yi 	不建议	c=1 d=1 t=2656
bu jin 	不仅	c=1 d=1 t=1684
bu jin qu 	不进去	c=0 d=0.1 t=2444
bu jiu shi 	不就是	c=1 d=1 t=2009
bu ke neng 	不可能	c=1 d=1 t=4088
bu ke qi 	不客气	c=3 d=1.00257 t=4277
bu ke yi 	不可以	c=3 d=1.00085 t=4364
bu ke yi o 	不可以哦	c=1 d=1 t=2439
bu ku 	不哭	c=1 d=1 t=1407
bu kun 	不困	c=0 d=0.1 t=1173
bu kun le 	不困了	c=1 d=1 t=1174
bu lai 	不来	c=1 d=1 t=134
bu lei 	不累	c=0 d=0.1 t=2849
bu li pu 	不离谱	c=1 d=1 t=5134
bu li wo 	不理我	c=1 d=1 t=4783
bu men 	部门	c=1 d=1 t=1484
bu min gan 	不敏感	c=1 d=1 t=2772
bu neng 	不能	c=6 d=1.00009 t=4384
bu neng gan 	不能干	c=1 d=1 t=934
bu neng suan 	不能算	c=1 d=1 t=2508
bu pei 	不配	c=0 d=0.1 t=3970
bu qu 	不去	c=2 d=1.00001 t=4249
bu que ding 	不确定	c=0 d=0.1 t=3876
bu ran 	不然	c=3 d=1.00009 t=4367
bu re qing 	不热情	c=1 d=1.06079 t=1780
bu ru 	不如	c=1 d=1 t=5053
bu shi 	不是	c=10 d=1.14907 t=4765
bu shi hai 	不是害	c=1 d=1 t=3981
bu shi ya 	不是呀	c=1 d=1 t=4502
bu shi you 	不是有	c=1 d=1 t=4240
bu shuo 	不说	c=1 d=1 t=1081
bu suan 	不算	c=0 d=0.1 t=760
bu suan ne 	不算呢	c=1 d=1 t=761
bu tai 	不太	c=1 d=1 t=3352
bu tai de xing 	不太得行	c=1 d=1 t=320
bu tai hao 	不太好	c=1 d=1 t=2918
bu tai ke neng 	不太可能	c=1 d=1 t=1330
bu tai xing 	步太行	c=1 d=1 t=5013
bu tong 	不同	c=3 d=1.96561 t=4653
bu tong de 	不同的	c=0 d=0.1 t=1701
bu tou ming 	不透明	c=1 d=1 t=434
bu tui 	不退	c=0 d=0.1 t=2375
bu tui chu 	不退出	c=2 d=1.98511 t=2379
bu xi huan 	不喜欢	c=2 d=2.01237 t=5069
bu xi huan ni 	不喜欢你	c=1 d=1 t=4770
bu xian shi 	不显示	c=1 d=1 t=3627
bu xiang 	不想	c=2 d=0.100012 t=4191
bu xiang qu 	不想去	c=1 d=1 t=3907
bu xiang shui 	不想睡	c=1 d=1 t=1185
bu xiang yong 	不享用	c=1 d=1 t=884
bu xiang yong le 	不想用了	c=1 d=1 t=4192
bu xin ku 	不辛苦	c=1 d=1 t=2947
bu xing 	不行	c=6 d=1.97097 t=4845
bu xing a 	不行啊	c=2 d=1.03544 t=4087
bu xing le 	不行了	c=1 d=1 t=1149
bu xu shuo 	不许说	c=1 d=1 t=1323
bu xu yao 	不需要	c=1 d=1 t=1375
bu yao 	不要	c=15 d=1.03672 t=5115
bu yao shuo 	不要说	c=1 d=1 t=288
bu ye 	不也	c=1 d=1 t=4804
bu yi ding 	不一定	c=1 d=1 t=4054
bu yi yang 	不一样	c=3 d=1.00094 t=3861
bu yi zhi 	不一致	c=1 d=1 t=3849
bu yong 	不用	c=1 d=1 t=2733
bu zai 	不在	c=3 d=2.05645 t=3835
bu zen 	不怎	c=0 d=0.1 t=4171
bu zen men 	不怎们	c=1 d=1 t=4172
bu zhao 	不找	c=1 d=1 t=120
bu zheng li de hua 	不整理的话	c=1 d=1 t=2653
bu zhi dao 	不知道	c=8 d=1.19926 t=4565
bu zhou 	步骤	c=1 d=1 t=3591
cai 	才	c=2 d=1.00532 t=5154
cai 	猜	c=2 d=1 t=3718
cai 	踩	c=0 d=0.1 t=1390
cai gang 	才刚	c=0 d=0.1 t=4954
cai gang kai shi 	才刚开始	c=1 d=1 t=4955
cai guo qu 	踩过去	c=1 d=1 t=1391
cai neng 	才能	c=3 d=1.01492 t=4583
can jia 	参加	c=1 d=1 t=4245
can yu 	参与	c=1 d=1 t=1111
cang ku 	仓库	c=3 d=1 t=4689
cao 	草	c=1 d=1 t=715
cao zuo 	操作	c=16 d=3.87513 t=4128
cao zuo de 	操作的	c=1 d=1 t=3487
cao zuo hou 	操作后	c=1 d=1 t=1948
ce ce 	测测	c=1 d=1 t=4429
ce dao 	测到	c=1 d=1 t=843
ce shi 	测试	c=1 d=1 t=4389
ce su 	测速	c=1 d=1 t=1194
cha 	查	c=1 d=1 t=5216
cha bu duo 	差不多	c=1 d=1 t=3806
cha bu duo de 	差不多的	c=1 d=1 t=3471
cha ci 	查词	c=1 d=1 t=1835
cha dao 	查到	c=1 d=1 t=2681
cha jian 	插件	c=1 d=1 t=2031
cha kan 	查看	c=5 d=3.05958 t=4656
cha ru 	插入	c=10 d=2.93189 t=2911
cha ru mo shi 	插入模式	c=1 d=1 t=1884
cha zhao 	查找	c=5 d=3.85084 t=2776
chai diao 	拆掉	c=1 d=1 t=982
chan 	婵	c=0 d=0.1 t=2162
chan sheng 	产生	c=1 d=1 t=1905
chan sheng le 	产生了	c=1 d=1 t=348
chang 	长	c=0 d=0.1 t=2934
chang chang 	尝尝	c=1 d=1 t=697
chang yong 	常用	c=1 d=1 t=4292
chang zi fu chuan 	长字符串	c=1 d=1 t=2935
chao guo 	超过	c=1 d=1 t=567
chao ren 	超人	c=1 d=1 t=284
chao wo 	朝我	c=1 d=1 t=665
che xiao 	撤销	c=1 d=1 t=3310
cheng gong 	成功	c=0 d=0.1 t=2912
cheng nian ren 	成年人	c=1 d=1 t=4760
cheng ren 	成人	c=0 d=0.1 t=691
cheng ren nai fen 	成人奶粉	c=1 d=1 t=692
cheng shu 	成熟	c=1 d=1.03239 t=4419
cheng shu du li 	成熟独立	c=1 d=1 t=4420
chi 	吃	c=5 d=2.87162 t=5058
chi ba 	吃吧	c=1 d=1 t=4270
chi bu gou 	吃不够	c=1 d=1 t=1284
chi chi 	吃吃	c=1 d=1 t=782
chi chi 	迟迟	c=1 d=1 t=781
chi cun 	尺寸	c=2 d=1.97531 t=1321
chi dai 	吃袋	c=1 d=1 t=1878
chi de 	吃得	c=1 d=1 t=1210
chi dian 	吃点	c=1 d=1 t=296
chi fa 	吃法	c=1 d=1 t=1366
chi fan 	吃饭	c=3 d=1.01638 t=4936
chi fan le mei 	吃饭了没	c=1 d=1 t=4937
chi ge 	吃个	c=0 d=0.1 t=1282
chi ge gou 	吃个够	c=1 d=1 t=1283
chi guo 	吃过	c=0 d=0.1 t=4216
chi le 	吃了	c=1 d=0.114193 t=2139
chi le ge 	吃了个	c=1 d=1 t=2140
chi nai 	吃奶	c=1 d=1 t=683
chi ni 	吃你	c=1 d=0.10905 t=2943
chi sha 	吃啥	c=0 d=0.1 t=5177
chi sha le 	吃啥了	c=1 d=1 t=5178
chi shi 	吃屎	c=1 d=1 t=5068
chi tang 	吃糖	c=1 d=1 t=1406
chi wan 	吃完	c=3 d=1.00006 t=4221
chi wan fan 	吃完饭	c=0 d=0.1 t=2011
chi xi 	吃席	c=1 d=1 t=3065
chi yao 	吃药	c=1 d=0.100152 t=1926
chi yao le 	吃药了	c=1 d=1 t=1927
chi yao le 	吃要了	c=1 d=1 t=1926
chong dian 	充电	c=1 d=1 t=500
chong fu 	重复	c=3 d=2.97025 t=3413
chong zuo 	重做	c=2 d=1.9802 t=3312
chu 	出	c=0 d=0.1 t=2375
chu 	处	c=7 d=3.00531 t=3266
chu chai 	出差	c=1 d=1 t=3434
chu lai le 	出来了	c=1 d=1 t=1374
chu li 	处理	c=1 d=0.67695 t=1752
chu mou hua ce 	出谋划策	c=1 d=1 t=4882
chu qu 	出去	c=2 d=1 t=4911
chu shen me 	出什么	c=1 d=1 t=216
chu shi hua 	初始化	c=4 d=1 t=4293
chu wai 	除外	c=0 d=0.1 t=1988
chu xian 	出现	c=1 d=1 t=3638
chu yu 	处于	c=1 d=1 t=1915
chu zhong 	初中	c=3 d=1.02119 t=5119
chu zhong lao shi 	初中老师	c=1 d=1 t=4310
chuan guo lai 	传过来	c=0 d=0.1 t=1234
chuan guo lai le 	传过来了	c=1 d=1 t=1235
chuang jian 	创建	c=6 d=2.87077 t=4691
chuang jian yi ge 	创建一个	c=1 d=1 t=4687
chuang kou 	窗口	c=1 d=1 t=1310
chuang shang 	床上	c=2 d=1.00247 t=1333
chun ai zhan shen 	纯爱战神	c=2 d=1.00517 t=1260
chun shu 	纯属	c=1 d=1 t=2203
ci 	次	c=3 d=1.07403 t=4662
ci 	词	c=0 d=0.1 t=598
ci shi 	此时	c=3 d=1.00037 t=3617
cong 	从	c=5 d=1.12899 t=4906
cong bei hou 	从背后	c=1 d=1 t=4864
cong bu 	从不	c=0 d=0.100415 t=1803
cong bu ku qi 	从不哭泣	c=1 d=1 t=1804
cong bu zuo meng 	从不做梦	c=1 d=1 t=707
cong lai bu 	从来不	c=0 d=0.1 t=1250
cong lai bu fa qing 	从来不发情	c=1 d=1 t=1251
cong ming 	聪明	c=0 d=0.1 t=3971
cong ni 	从你	c=1 d=1 t=1388
cong yi yuan 	从医院	c=1 d=1 t=34
cong zuo 	从左	c=1 d=1 t=2131
cou gou 	凑够	c=1 d=1 t=5160
cun dang 	存档	c=6 d=3.62649 t=1766
cun zai 	存在	c=1 d=1 t=3657
da 	大	c=3 d=1.0231 t=4571
da 	打	c=0 d=0.1 t=1141
da bao 	打包	c=1 d=1 t=4210
da bao zha 	大爆炸	c=1 d=1 t=349
da gai 	大概	c=5 d=1.10723 t=5192
da gai jiu shi 	大概就是	c=2 d=1.96079 t=4401
da gai lv 	大概率	c=1 d=1 t=4490
da ge 	大哥	c=2 d=1.98511 t=4352
da guo min 	大国民	c=1 d=1 t=5218
da ji chu 	打基础	c=1 d=1 t=4961
da kai 	打开	c=4 d=1.47699 t=2455
da kai de 	打开的	c=2 d=1.94555 t=2259
da qing zhong 	大情种	c=1 d=1 t=3952
da rao 	打扰	c=1 d=1 t=4791
da ren 	大人	c=1 d=1 t=910
da si 	大四	c=1 d=1 t=4591
da suan 	打算	c=0 d=0.1 t=1292
da tang sheng shi 	大唐盛世	c=1 d=1 t=5208
da tou wa wa 	大头娃娃	c=1 d=1 t=685
da wan 	打完	c=0 d=0.1 t=4312
da xi 	大西	c=1 d=1 t=3383
da xiao 	大小	c=0 d=0.198511 t=520
da xiao xie 	大小写	c=8 d=3.94883 t=3377
da xie 	大写	c=3 d=1.61155 t=3399
da xue 	大学	c=9 d=3.72608 t=5033
da xue hou 	大学后	c=1 d=1 t=3859
da ya 	大牙	c=1 d=1 t=669
da yi 	大一	c=1 d=1 t=4538
da yi dian 	大一点	c=2 d=1.29083 t=4778
da yi ma 	大姨妈	c=0 d=0.1 t=1248
da yi ma le 	大姨妈了	c=1 d=1 t=1249
da you xi 	打游戏	c=0 d=0.1 t=4311
da you xi le 	打游戏了	c=1 d=1 t=4312
da zi 	打字	c=2 d=1 t=4787
da zi ji 	打自己	c=1 d=1 t=1142
dai 	带	c=1 d=1 t=3118
dai biao 	代表	c=1 d=1 t=4636
dai hui lai 	带回来	c=1 d=1 t=4211
dai jia 	代价	c=1 d=1 t=4026
dai ma 	代码	c=1 d=1 t=4726
dai ma chu li 	代码处理	c=1 d=1 t=1753
dai qu 	带去	c=1 d=1 t=3127
dai wo qu 	带我去	c=1 d=1 t=277
dai zou 	带走	c=2 d=1.95123 t=1279
dan 	但	c=6 d=1.00639 t=3532
dan chun 	单纯	c=1 d=1 t=4766
dan ci 	单词	c=11 d=4.58972 t=3405
dan sha 	单杀	c=1 d=1 t=1786
dan shi 	但是	c=22 d=1.39888 t=4746
dan wei 	单位	c=1 d=1 t=4048
dan xin 	担心	c=1 d=1 t=5143
dan xin de 	担心的	c=1 d=1 t=3768
dan yuan 	但愿	c=1 d=1 t=213
dang 	当	c=6 d=1.34238 t=3723
dang qian 	当前	c=22 d=2.57323 t=4679
dang qian de 	当前的	c=1 d=1 t=2348
dang qian fen zhi 	当前分支	c=1 d=1 t=4680
dang qian guang biao 	当前光标	c=1 d=1 t=3216
dang qian hang 	当前行	c=11 d=1.22047 t=4018
dang qian kuai 	当前块	c=3 d=2.56206 t=3836
dang qian ping mu 	当前屏幕	c=3 d=2.70975 t=3136
dang qian wei zhi 	当前位置	c=1 d=1 t=2762
dang qian wen jian 	当前文件	c=1 d=1 t=2381
dang xia 	当下	c=1 d=1 t=2227
dang zhong 	当中	c=1 d=1 t=2386
dao 	倒	c=1 d=1 t=825
dao 	刀	c=2 d=1.14661 t=1761
dao 	到	c=41 d=4.5855 t=4711
dao chu 	到处	c=1 d=1 t=3953
dao ci 	到此	c=1 d=1 t=3628
dao di 	到底	c=1 d=1 t=4893
dao guo 	到过	c=0 d=0.1 t=3829
dao jiu 	倒酒	c=1 d=1 t=3197
dao le 	到了	c=0 d=0.1 t=2510
dao ni 	到你	c=0 d=0.1 t=995
dao shi hou 	到时候	c=5 d=1.08928 t=5167
dao ye bu shi 	倒也不是	c=1 d=1 t=1209
dao zhe 	到者	c=1 d=1 t=824
dao zhi 	导致	c=3 d=1.68002 t=3853
de 	得	c=2 d=1.00199 t=1799
de 	的	c=190 d=4.69827 t=5108
de hua 	的话	c=1 d=0.1 t=5213
de shi hou 	的时候	c=1 d=1 t=4813
de xing 	得行	c=0 d=0.1 t=319
dei 	得	c=1 d=1 t=1150
deng 	等	c=7 d=1.43559 t=3895
deng deng 	等等	c=2 d=1 t=4872
deng lu 	登录	c=1 d=1 t=1307
deng ni 	等你	c=4 d=1.00003 t=2883
deng wo 	等我	c=2 d=1.00318 t=2440
di 	滴	c=2 d=1.08826 t=2469
di 	第	c=9 d=1.00308 t=4640
di bu jin qu 	滴不进去	c=1 d=1 t=2445
di di 	弟弟	c=4 d=2.20436 t=1845
di er zhong 	第二种	c=1 d=1 t=105
di fang 	地方	c=1 d=1 t=1020
di ge 	滴个	c=1 d=1 t=2441
di jin zui li 	滴进嘴里	c=1 d=1 t=101
di le 	滴了	c=0 d=0.1 t=2445
di qiu 	地球	c=1 d=1 t=408
di shang 	地上	c=1 d=1 t=514
di xia 	底下	c=1 d=1 t=5012
di yao 	滴药	c=1 d=1 t=166
di yi 	第一	c=0 d=0.1 t=3085
di yi bu 	第一步	c=1 d=1 t=2220
di yi ge 	第一个	c=5 d=2.24042 t=2976
di yi hang 	第一行	c=4 d=2.58641 t=3282
di yi ren cheng 	第一人称	c=1 d=1 t=516
dian 	点	c=1 d=0.1 t=5042
dian nao 	电脑	c=2 d=1 t=4818
dian nao shang 	电脑商	c=1 d=1 t=4185
dian wai mai 	点外卖	c=2 d=1.97531 t=5048
dian xing 	典型	c=1 d=1 t=4682
dian yao 	点药	c=0 d=0.1 t=150
dian zan 	点赞	c=2 d=1.97531 t=144
diao 	掉	c=3 d=1.0011 t=4838
diao 	雕	c=2 d=1.94649 t=3335
diao de 	掉得	c=1 d=1 t=1138
diao le 	掉了	c=2 d=1.75201 t=1192
diao tou 	掉头	c=0 d=0.1 t=1153
diao tou fa le 	掉头发了	c=1 d=1 t=1154
diao yong 	调用	c=1 d=1 t=2040
diao you hua wen 	雕有花纹	c=1 d=1 t=536
ding wei 	定位	c=3 d=1.22687 t=3095
ding wei dao 	定位到	c=3 d=2.92654 t=3090
ding yi 	定义	c=2 d=1.00009 t=4713
dong 	动	c=1 d=0.39523 t=727
dong 	懂	c=1 d=1 t=676
dong bei 	东北	c=1 d=1 t=4042
dong le 	动了	c=1 d=1 t=811
dong le 	懂了	c=2 d=1.75578 t=868
dong ni 	懂你	c=1 d=1 t=26
dong tai 	动态	c=2 d=1 t=4799
dong xi 	东西	c=2 d=1.0435 t=925
dong zuo 	动作	c=1 d=1 t=4139
dou 	都	c=10 d=1.79451 t=5193
dou bi 	都比	c=1 d=1 t=3451
dou bu 	都不	c=0 d=0.1 t=2401
dou bu bao cun 	都不保存	c=1 d=1 t=2402
dou hao 	逗号	c=1 d=1 t=3068
dou hao 	都好	c=1 d=1 t=3067
dou hu you 	都忽悠	c=1 d=1 t=863
dou hui you 	都会有	c=1 d=1 t=822
dou lai 	都来	c=1 d=1 t=4833
dou ni wan 	逗你玩	c=0 d=0.1 t=47
dou shi 	都是	c=3 d=0.121174 t=4193
dou shi ni 	都是你	c=0 d=0.1 t=4288
dou shi ni de 	都是你的	c=1 d=1 t=4289
dou xi huan 	都喜欢	c=1 d=1 t=5066
